Gene symbol,Feature ID,Chromosome,Start,End
BRAF,BRAF_E5,chr7,140603960,140604110
BRAF,BRAF_E6,chr7,140615816,140616047
BRAF,BRAF_E7,chr7,140619840,140621006
BRAF,BRAF_P1,chr7,140623064,140626064
BRAF,BRAF_E8,chr7,140623880,140624030
BRAF,BRAF_E9,chr7,140624040,140624190
BRAF,BRAF_E10,chr7,140624205,140624355
BRAF,BRAF_E11,chr7,140625025,140625175
BRAF,BRAF_E12,chr7,140666347,140667475
CALR3,CALR3_P1,chr19,16605753,16608503
CASQ2,CASQ2_E1,chr1,116250866,116252194
CASQ2,CASQ2_E2,chr1,116252254,116258051
CASQ2,CASQ2_E3,chr1,116269508,116271580
CASQ2,CASQ2_E4,chr1,116282939,116286371
CASQ2,CASQ2_E5,chr1,116290439,116303463
CASQ2,CASQ2_E6,chr1,116304021,116306748
CASQ2,CASQ2_E7,chr1,116307660,116309075
CASQ2,CASQ2_E8,chr1,116309150,116309835
CASQ2,CASQ2_P1,chr1,116309835,116312902
CASQ2,CASQ2_E9,chr1,116313163,116315177
CASQ2,CASQ2_E10,chr1,116324527,116326213
CASQ2,CASQ2_E11,chr1,116334937,116336373
CAV3,CAV3_P1,chr3,8773985,8777012
CAV3,CAV3_E1,chr3,8777121,8781003
CAV3,CAV3_E2,chr3,8781332,8784256
CBL,CBL_E1,chr11,119067720,119067870
CBL,CBL_P1,chr11,119075252,119078686
CBL,CBL_E2,chr11,119077280,119077430
CBL,CBL_E3,chr11,119085707,119087738
CHRM2,CHRM2_E1,chr7,136382043,136382961
CHRM2,CHRM2_P1,chr7,136551903,136555368
CHRM2,CHRM2_E2,chr7,136553680,136553830
CHRM2,CHRM2_E3,chr7,136555368,136563711
CHRM2,CHRM2_E4,chr7,136567894,136568090
CHRM2,CHRM2_E5,chr7,136572219,136572551
CHRM2,CHRM2_E6,chr7,136611215,136611851
CHRM2,CHRM2_E7,chr7,136613195,136613606
CHRM2,CHRM2_E8,chr7,136615794,136616671
CRYAB,CRYAB_E1,chr11,111776220,111776429
CRYAB,CRYAB_E2,chr11,111778707,111778999
CRYAB,CRYAB_P1,chr11,111779968,111786054
CRYAB,CRYAB_E3,chr11,111781440,111781590
CRYAB,CRYAB_E4,chr11,111785045,111785195
CRYAB,CRYAB_E5,chr11,111793516,111795030
CRYAB,CRYAB_E6,chr11,111795793,111796217
CRYAB,CRYAB_E7,chr11,111803280,111803636
CRYAB,CRYAB_E8,chr11,111804667,111804979
CSRP3,CSRP3_E1,chr11,19190072,19190850
CSRP3,CSRP3_E2,chr11,19193250,19197325
CSRP3,CSRP3_E3,chr11,19197921,19216821
CSRP3,CSRP3_P1,chr11,19217521,19220788
CSRP3,CSRP3_E4,chr11,19219821,19222089
CSRP3,CSRP3_P2,chr11,19222183,19227543
CSRP3,CSRP3_E5,chr11,19227543,19230620
CSRP3,CSRP3_P3,chr11,19230620,19233620
CSRP3,CSRP3_E6,chr11,19233620,19236288
CSRP3,CSRP3_E7,chr11,19238368,19241748
CSRP3,CSRP3_E8,chr11,19242667,19244652
CTNNA3,CTNNA3_E1,chr10,69310568,69311292
CTNNA3,CTNNA3_E2,chr10,69335035,69336045
CTNNA3,CTNNA3_E3,chr10,69352241,69365033
CTNNA3,CTNNA3_E4,chr10,69366234,69368073
CTNNA3,CTNNA3_E5,chr10,69380580,69382365
CTNNA3,CTNNA3_E6,chr10,69417643,69417908
CTNNA3,CTNNA3_E7,chr10,69418927,69419736
CTNNA3,CTNNA3_E8,chr10,69422765,69436742
CTNNA3,CTNNA3_E9,chr10,69439104,69440628
CTNNA3,CTNNA3_P1,chr10,69454493,69457427
CTNNA3,CTNNA3_E10,chr10,69456715,69457182
CTNNA3,CTNNA3_E11,chr10,69457536,69458326
CTNNA3,CTNNA3_E12,chr10,69522737,69525025
DES,DES_E1,chr2,220267556,220275827
DES,DES_E2,chr2,220279757,220281598
DES,DES_P1,chr2,220281484,220285033
DES,DES_E3,chr2,220282078,220282672
DES,DES_E4,chr2,220284598,220289406
DES,DES_E5,chr2,220295466,220295837
DMD,DMD_E1,chrX,31204673,31206131
DMD,DMD_E2,chrX,31244079,31247309
DMD,DMD_P1,chrX,31284054,31285438
DMD,DMD_E3,chrX,31287747,31288594
DMD,DMD_E4,chrX,31289859,31290711
DMD,DMD_E5,chrX,31316807,31316962
DMD,DMD_E6,chrX,31349098,31350525
DMD,DMD_E7,chrX,31355451,31357290
DMD,DMD_E8,chrX,31838502,31839325
DMD,DMD_E9,chrX,32889734,32890637
DMD,DMD_E10,chrX,32931515,32932693
DMD,DMD_E11,chrX,32960026,32965318
DMD,DMD_E12,chrX,33049069,33051315
DMD,DMD_E13,chrX,33156741,33157504
DMD,DMD_E14,chrX,33201180,33202443
DMD,DMD_E15,chrX,33208260,33208410
DMD,DMD_E16,chrX,33212683,33214506
DMD,DMD_E17,chrX,33224374,33225509
DMD,DMD_P2,chrX,33228242,33231136
DMD,DMD_E18,chrX,33230100,33230250
DOLK ,DOLK_E1,chr9,131748711,131750947
DSC2,DSC2_E1,chr18,28644200,28644350
DSC2,DSC2_P1,chr18,28681128,28683878
DSC2,DSC2_E2,chr18,28682025,28682175
DSC2,DSC2_E3,chr18,28756640,28756790
DSC2,DSC2_E4,chr18,28765700,28765850
DSG2,DSG2_E1,chr18,29063204,29072033
DSG2,DSG2_P1,chr18,29072034,29079748
DSG2,DSG2_E2,chr18,29086414,29086572
DSG2,DSG2_E3,chr18,29089654,29089909
DSP,DSP_E1,chr6,7496269,7497104
DSP,DSP_E2,chr6,7502845,7503757
DSP,DSP_E3,chr6,7508077,7514490
DSP,DSP_E4,chr6,7528520,7530099
DSP,DSP_E5,chr6,7532321,7539706
DSP,DSP_P1,chr6,7539366,7543739
DSP,DSP_E6,chr6,7543085,7543235
DSP,DSP_E7,chr6,7543350,7545206
DSP,DSP_E8,chr6,7545216,7550757
DSP,DSP_E9,chr6,7552322,7556934
DSP,DSP_E10,chr6,7558296,7562524
DSP,DSP_E11,chr6,7562526,7563390
DTNA,DTNA_P1,chr18,32071754,32074780
DTNA,DTNA_E1,chr18,32073660,32073810
DTNA,DTNA_E2,chr18,32074080,32074230
DTNA,DTNA_E3,chr18,32075971,32077206
DTNA,DTNA_E4,chr18,32094177,32095181
DTNA,DTNA_E5,chr18,32130918,32132010
DTNA,DTNA_E6,chr18,32142192,32143578
DTNA,DTNA_E7,chr18,32170302,32171083
DTNA,DTNA_P2,chr18,32171802,32174860
DTNA,DTNA_E8,chr18,32174828,32175357
DTNA,DTNA_E9,chr18,32175620,32176746
DTNA,DTNA_E10,chr18,32180180,32180330
DTNA,DTNA_E11,chr18,32185260,32187328
DTNA,DTNA_E12,chr18,32187575,32189306
DTNA,DTNA_E13,chr18,32206820,32206970
DTNA,DTNA_E14,chr18,32216011,32217305
DTNA,DTNA_E15,chr18,32228574,32231372
DTNA,DTNA_E16,chr18,32237554,32242012
DTNA,DTNA_E17,chr18,32286777,32288747
DTNA,DTNA_P3,chr18,32288747,32289756
DTNA,DTNA_E18,chr18,32289160,32289310
DTNA,DTNA_P4,chr18,32289960,32291327
DTNA,DTNA_E19,chr18,32290560,32290710
DTNA,DTNA_E20,chr18,32303116,32307930
DTNA,DTNA_E21,chr18,32308472,32316906
DTNA,DTNA_E22,chr18,32317205,32319161
DTNA,DTNA_E23,chr18,32319217,32321392
DTNA,DTNA_E24,chr18,32321918,32322599
DTNA,DTNA_E25,chr18,32322682,32323446
DTNA,DTNA_E26,chr18,32339933,32341168
DTNA,DTNA_E27,chr18,32352309,32354881
DTNA,DTNA_E28,chr18,32387868,32389309
DTNA,DTNA_E29,chr18,32413214,32416227
DTNA,DTNA_E30,chr18,32417382,32419456
DTNA,DTNA_E31,chr18,32443013,32446261
DTNA,DTNA_E32,chr18,32447253,32448119
DTNA,DTNA_E33,chr18,32459370,32460552
DTNA,DTNA_E34,chr18,32463552,32468526
EMD,EMD_E1,chrX,153599980,153600130
EMD,EMD_E5,chrX,153599980,153600130
EMD,EMD_E2,chrX,153601745,153601895
EMD,EMD_E6,chrX,153601745,153601895
EMD,EMD_E3,chrX,153601900,153602050
EMD,EMD_E7,chrX,153601900,153602050
EMD,EMD_P1,chrX,153606056,153609484
EMD,EMD_E4,chrX,153607865,153608015
EMD,EMD_E8,chrX,153607865,153608015
EMD,EMD_E1,chrX,153610961,153613286
EMD,EMD_E2,chrX,153612673,153612875
EMD,EMD_E1,chrX,153755433,153755621
EMD,EMD_E2,chrX,153771435,153771677
EYA4,EYA4_E1,chr6,133511439,133513530
EYA4,EYA4_E2,chr6,133558160,133558310
EYA4,EYA4_P1,chr6,133560989,133564268
EYA4,EYA4_E3,chr6,133563145,133563295
EYA4,EYA4_E4,chr6,133563345,133563495
EYA4,EYA4_E5,chr6,133563820,133563970
EYA4,EYA4_E6,chr6,133564005,133564155
EYA4,EYA4_E7,chr6,133564240,133564390
EYA4,EYA4_E8,chr6,133564480,133564630
EYA4,EYA4_E9,chr6,133574121,133574731
EYA4,EYA4_E10,chr6,133680576,133681600
EYA4,EYA4_E11,chr6,133756028,133757251
EYA4,EYA4_E12,chr6,133757660,133759102
EYA4,EYA4_E13,chr6,133783168,133784210
EYA4,EYA4_E14,chr6,133822597,133824705
FHL1,FHL1_E1,chrX,135150187,135151391
FHL1,FHL1_E2,chrX,135196460,135198446
FHL1,FHL1_E3,chrX,135205161,135205955
FHL1,FHL1_E4,chrX,135206536,135211523
FHL1,FHL1_P1,chrX,135227161,135231688
FHL1,FHL1_E5,chrX,135232236,135235585
FHL1,FHL1_E6,chrX,135236813,135237826
FHL1,FHL1_E7,chrX,135238851,135239870
FHL1,FHL1_E8,chrX,135241390,135246250
FHL1,FHL1_E9,chrX,135247890,135248932
FHL1,FHL1_E10,chrX,135249327,135249954
FHL1,FHL1_P2,chrX,135249954,135253584
FHL1,FHL1_E11,chrX,135255406,135256903
FHL1,FHL1_E12,chrX,135257099,135257694
FHL1,FHL1_E13,chrX,135257867,135260418
FHL1,FHL1_E14,chrX,135260491,135262704
FHL1,FHL1_E15,chrX,135263012,135268981
FHL1,FHL1_E16,chrX,135269287,135277412
FHL1,FHL1_P3,chrX,135277412,135280498
FHL1,FHL1_E17,chrX,135280684,135285312
FHL1,FHL1_E18,chrX,135288567,135293212
FHL1,FHL1_E19,chrX,135293488,135297659
FHL2,FHL2_E1,chr2,105980994,105989049
FHL2,FHL2_E2,chr2,105992049,106012494
FHL2,FHL2_P1,chr2,106011914,106017624
FHL2,FHL2_E3,chr2,106013085,106013235
FHL2,FHL2_E4,chr2,106014920,106015070
FHL2,FHL2_E5,chr2,106015680,106015830
FHL2,FHL2_E6,chr2,106017624,106053452
FHL2,FHL2_P2,chr2,106053452,106056470
FHL2,FHL2_E7,chr2,106054660,106054810
FHL2,FHL2_E8,chr2,106055680,106055830
FHL2,FHL2_E9,chr2,106057059,106061167
FHL2,FHL2_E10,chr2,106062722,106063794
FHL2,FHL2_E11,chr2,106063894,106064894
FHL2,FHL2_E12,chr2,106065556,106067517
FHL2,FHL2_E13,chr2,106073469,106075121
FHL2,FHL2_E14,chr2,106085383,106086501
FHL2,FHL2_E15,chr2,106088720,106090257
FHL2,FHL2_E16,chr2,106101741,106107854
FHL2,FHL2_E17,chr2,106109469,106156876
FKRP,FKRP_E1,chr19,47233359,47237809
FKRP,FKRP_E2,chr19,47241068,47246846
FKRP,FKRP_P1,chr19,47247266,47250717
FKRP,FKRP_E3,chr19,47253600,47253750
FKRP,FKRP_E4,chr19,47260645,47260795
FKTN,FKTN_E1,chr9,108272400,108272550
FKTN,FKTN_P1,chr9,108318911,108321661
FKTN,FKTN_E2,chr9,108319845,108319995
FKTN,FKTN_E3,chr9,108355841,108357094
FLNC,FLNC_E1,chr7,128466142,128468930
FLNC,FLNC_P1,chr7,128468448,128472073
FLNC,FLNC_E2,chr7,128469405,128469555
FLNC,FLNC_E3,chr7,128470625,128470775
FLNC,FLNC_E4,chr7,128471979,128487178
GATAD1,GATAD1_E1,chr7,92050986,92051605
GATAD1,GATAD1_E2,chr7,92052818,92053383
GATAD1,GATAD1_P1,chr7,92075267,92078545
GATAD1,GATAD1_E3,chr7,92077300,92077450
GATAD1,GATAD1_E4,chr7,92114409,92115709
HCN4,HCN4_E1,chr15,73517547,73519220
HCN4,HCN4_E2,chr15,73574994,73576547
HCN4,HCN4_E3,chr15,73576701,73580713
HCN4,HCN4_E4,chr15,73629116,73629900
HCN4,HCN4_E5,chr15,73629941,73635789
HCN4,HCN4_E6,chr15,73635791,73639416
HCN4,HCN4_E7,chr15,73642984,73660105
HCN4,HCN4_P1,chr15,73659084,73663105
HCN4,HCN4_E8,chr15,73663105,73664793
HCN4,HCN4_E9,chr15,73665116,73679160
HCN4,HCN4_E10,chr15,73679176,73685002
HCN4,HCN4_E11,chr15,73685023,73687801
HCN4,HCN4_E12,chr15,73689253,73690658
HRAS,HRAS_E1,chr11,514788,515091
HRAS,HRAS_E2,chr11,515110,515620
HRAS,HRAS_E3,chr11,528741,529214
HRAS,HRAS_E4,chr11,531231,532875
HRAS,HRAS_P1,chr11,534300,537050
HRAS,HRAS_E5,chr11,535925,536075
HRAS,HRAS_E6,chr11,561065,561215
HRAS,HRAS_E7,chr11,563243,563763
HRAS,HRAS_E8,chr11,564325,564475
HRAS,HRAS_E9,chr11,565768,566147
HRAS,HRAS_E10,chr11,568185,568335
HRAS,HRAS_E11,chr11,568785,568935
ILK,ILK_P1,chr11,6623309,6627897
ILK,ILK_E1,chr11,6627150,6628671
ILK,ILK_P2,chr11,6628300,6628450
ILK,ILK_E2,chr11,6632600,6632750
ILK,ILK_E3,chr11,6632760,6632910
ILK,ILK_E4,chr11,6632940,6633090
JPH2,JPH2_E1,chr20,42702578,42704291
JPH2,JPH2_E2,chr20,42711078,42814233
JPH2,JPH2_P1,chr20,42814233,42817718
JPH2,JPH2_E3,chr20,42815525,42815675
JPH2,JPH2_E4,chr20,42816800,42816950
JPH2,JPH2_E5,chr20,42816980,42817130
JPH2,JPH2_E6,chr20,42817487,42819150
JPH2,JPH2_E7,chr20,42824241,42824643
JPH2,JPH2_E8,chr20,42827717,42827832
JUP,JUP_E1,chr17,39914132,39921470
JUP,JUP_E2,chr17,39924897,39926606
JUP,JUP_P1,chr17,39928540,39928690
JUP,JUP_E3,chr17,39929325,39929475
JUP,JUP_E4,chr17,39929606,39939907
JUP,JUP_P2,chr17,39940139,39944450
JUP,JUP_E5,chr17,39940405,39940555
JUP,JUP_E6,chr17,39940805,39940955
JUP,JUP_E7,chr17,39944450,39953828
KRAS,KRAS_E1,chr12,25388464,25389947
KRAS,KRAS_E2,chr12,25394240,25394390
KRAS,KRAS_E3,chr12,25394660,25394810
KRAS,KRAS_E4,chr12,25396460,25396610
KRAS,KRAS_P1,chr12,25401396,25405589
KRAS,KRAS_E5,chr12,25403180,25403330
KRAS,KRAS_E6,chr12,25403400,25403550
KRAS,KRAS_E7,chr12,25408781,25410430
KRAS,KRAS_E8,chr12,25416895,25417663
KRAS,KRAS_E9,chr12,25428360,25430793
KRAS,KRAS_E10,chr12,25447874,25448790
KRAS,KRAS_E11,chr12,25469486,25470359
KRAS,KRAS_E12,chr12,25536042,25540928
LAMA4,LAMA4_E1,chr6,112559506,112574240
LAMA4,LAMA4_P1,chr6,112574240,112577495
LAMA4,LAMA4_E2,chr6,112577528,112586146
LAMA4,LAMA4_E3,chr6,112588755,112592033
LAMA4,LAMA4_E4,chr6,112599986,112604620
LAMA4,LAMA4_E5,chr6,112607693,112613601
LAMA4,LAMA4_E6,chr6,112618789,112621169
LAMP2,LAMP2_E1,chrX,119573395,119575156
LAMP2,LAMP2_E2,chrX,119583600,119590439
LAMP2,LAMP2_P1,chrX,119601374,119605120
LAMP2,LAMP2_E3,chrX,119619037,119620765
LARGE1,LARGE1_E1,chr22,34225189,34229555
LARGE1,LARGE1_E2,chr22,34231131,34232967
LARGE1,LARGE1_E3,chr22,34236739,34241646
LARGE1,LARGE1_E4,chr22,34246559,34248255
LARGE1,LARGE1_E5,chr22,34248704,34250574
LARGE1,LARGE1_E6,chr22,34256278,34273249
LARGE1,LARGE1_E7,chr22,34278916,34281411
LARGE1,LARGE1_E8,chr22,34289634,34294627
LARGE1,LARGE1_E9,chr22,34294703,34297637
LARGE1,LARGE1_E10,chr22,34302409,34308826
LARGE1,LARGE1_E11,chr22,34312540,34313263
LARGE1,LARGE1_P1,chr22,34314826,34319015
LARGE1,LARGE1_E12,chr22,34620696,34622179
LARGE1,LARGE1_E13,chr22,34631611,34633051
LARGE1,LARGE1_E14,chr22,34698312,34700257
LDB3,LDB3_E1,chr10,88414200,88414350
LDB3,LDB3_E2,chr10,88415873,88426705
LDB3,LDB3_P1,chr10,88426672,88430181
LDB3,LDB3_E3,chr10,88429948,88480371
LMNA,LMNA_E1,chr1,156053868,156057017
LMNA,LMNA_E2,chr1,156057990,156060218
LMNA,LMNA_E3,chr1,156060222,156061660
LMNA,LMNA_E4,chr1,156065377,156078646
LMNA,LMNA_P1,chr1,156075510,156075657
LMNA,LMNA_P2,chr1,156076120,156076270
LMNA,LMNA_P3,chr1,156076285,156076435
LMNA,LMNA_E5,chr1,156078836,156079744
LMNA,LMNA_E6,chr1,156080621,156082960
LMNA,LMNA_P4,chr1,156082960,156086112
LMNA,LMNA_E7,chr1,156083161,156083438
LMNA,LMNA_E8,chr1,156083720,156083870
LMNA,LMNA_E9,chr1,156085760,156085910
LMNA,LMNA_E10,chr1,156085980,156094450
LMNA,LMNA_P5,chr1,156092264,156098093
LMNA,LMNA_E11,chr1,156094836,156095271
LMNA,LMNA_E12,chr1,156095920,156096070
LMNA,LMNA_E13,chr1,156097530,156097692
LMNA,LMNA_E14,chr1,156098093,156100910
MAP2K1,MAP2K1_P1,chr15,66677655,66681548
MAP2K1,MAP2K1_E1,chr15,66679305,66679455
MAP2K1,MAP2K1_E2,chr15,66679700,66679850
MAP2K1,MAP2K1_E3,chr15,66682149,66683939
MAP2K1,MAP2K1_E4,chr15,66693554,66695118
MAP2K1,MAP2K1_E5,chr15,66696754,66704019
MAP2K1,MAP2K1_E6,chr15,66731310,66734666
MAP2K2,MAP2K2_E1,chr19,4095879,4099419
MAP2K2,MAP2K2_E2,chr19,4114944,4116419
MAP2K2,MAP2K2_P1,chr19,4122569,4125626
MAP2K2,MAP2K2_E3,chr19,4123860,4124010
MYBPC3,MYBPC3_E1,chr11,47345796,47372753
MYBPC3,MYBPC3_P1,chr11,47372526,47375753
MYBPC3,MYBPC3_E2,chr11,47375753,47383738
MYH6,MYH6_P1,chr14,23875301,23881541
MYH7,MYH7_E1,chr14,23888772,23903427
MYH7,MYH7_P1,chr14,23903235,23906665
MYH7,MYH7_E2,chr14,23906427,23917110
MYH7,MYH7_E3,chr14,23918194,23919041
MYL2,MYL2_E1,chr12,111330323,111356524
MYL2,MYL2_P1,chr12,111356879,111359881
MYL3,MYL3_E1,chr3,46885894,46897251
MYL3,MYL3_E2,chr3,46897494,46903432
MYL3,MYL3_P1,chr3,46903432,46906473
MYL3,MYL3_E3,chr3,46906473,46917735
MYLK2,MYLK2_E1,chr20,30393786,30395808
MYLK2,MYLK2_E2,chr20,30396855,30405610
MYLK2,MYLK2_P1,chr20,30405676,30408426
MYLK2,MYLK2_E3,chr20,30409004,30413079
MYOM1,MYOM1_E1,chr18,3112893,3120830
MYOM1,MYOM1_E2,chr18,3125349,3127189
MYOM1,MYOM1_E3,chr18,3131079,3131908
MYOM1,MYOM1_E4,chr18,3132253,3133641
MYOM1,MYOM1_E5,chr18,3133793,3135129
MYOM1,MYOM1_E6,chr18,3135438,3136069
MYOM1,MYOM1_E7,chr18,3138016,3140596
MYOM1,MYOM1_E8,chr18,3140903,3143084
MYOM1,MYOM1_E9,chr18,3151587,3153814
MYOM1,MYOM1_E10,chr18,3154763,3157722
MYOM1,MYOM1_E11,chr18,3161739,3162986
MYOM1,MYOM1_E12,chr18,3177588,3187731
MYOM1,MYOM1_E13,chr18,3191894,3193018
MYOM1,MYOM1_E14,chr18,3194204,3195759
MYOM1,MYOM1_E15,chr18,3196478,3197530
MYOM1,MYOM1_E16,chr18,3198622,3200253
MYOM1,MYOM1_E17,chr18,3205846,3206919
MYOM1,MYOM1_E18,chr18,3207206,3218347
MYOM1,MYOM1_P1,chr18,3218244,3221606
MYOM1,MYOM1_E19,chr18,3223334,3227210
MYOZ2,MYOZ2_E1,chr4,119936841,119944864
MYOZ2,MYOZ2_E2,chr4,119945931,119966755
MYOZ2,MYOZ2_E3,chr4,119966869,119979338
MYOZ2,MYOZ2_E4,chr4,119981828,119982747
MYOZ2,MYOZ2_E5,chr4,119989356,119989952
MYOZ2,MYOZ2_E6,chr4,119992952,120004824
MYOZ2,MYOZ2_E7,chr4,120009129,120014606
MYOZ2,MYOZ2_E8,chr4,120022224,120025402
MYOZ2,MYOZ2_E9,chr4,120025769,120026544
MYOZ2,MYOZ2_E10,chr4,120026856,120028493
MYOZ2,MYOZ2_E11,chr4,120045316,120049946
MYOZ2,MYOZ2_E12,chr4,120051233,120054061
MYOZ2,MYOZ2_E13,chr4,120054347,120055438
MYOZ2,MYOZ2_P1,chr4,120055438,120058500
MYOZ2,MYOZ2_E14,chr4,120058438,120073117
MYOZ2,MYOZ2_E15,chr4,120075864,120078767
MYPN,MYPN_E1,chr10,69853665,69853815
MYPN,MYPN_E2,chr10,69853840,69853990
MYPN,MYPN_E3,chr10,69854186,69855675
MYPN,MYPN_E4,chr10,69858200,69860642
MYPN,MYPN_E5,chr10,69863060,69863210
MYPN,MYPN_P1,chr10,69865620,69865770
MYPN,MYPN_P2,chr10,69867494,69870733
MYPN,MYPN_E6,chr10,69870752,69873828
MYPN,MYPN_E7,chr10,69875846,69880520
MYPN,MYPN_E8,chr10,69881700,69881850
MYPN,MYPN_E9,chr10,69883842,69885379
MYPN,MYPN_E10,chr10,69892142,69897772
MYPN,MYPN_E11,chr10,69897977,69901101
MYPN,MYPN_E12,chr10,69901285,69903744
MYPN,MYPN_E13,chr10,69904226,69904959
MYPN,MYPN_E14,chr10,69905272,69906200
MYPN,MYPN_E15,chr10,69907046,69916335
MYPN,MYPN_E16,chr10,69919730,69921164
NEBL,NEBL_E1,chr10,21024174,21025761
NEBL,NEBL_E2,chr10,21033657,21035725
NEBL,NEBL_E3,chr10,21037060,21038797
NEBL,NEBL_E4,chr10,21048789,21050353
NEBL,NEBL_E5,chr10,21055611,21056736
NEBL,NEBL_E6,chr10,21090114,21094267
NEBL,NEBL_E7,chr10,21154185,21155209
NEBL,NEBL_E8,chr10,21163011,21164910
NEBL,NEBL_E9,chr10,21166123,21167213
NEBL,NEBL_E10,chr10,21167470,21169185
NEBL,NEBL_E11,chr10,21173064,21174080
NEBL,NEBL_E12,chr10,21177165,21178318
NEBL,NEBL_E13,chr10,21178680,21180335
NEBL,NEBL_E14,chr10,21180669,21184644
NEBL,NEBL_P1,chr10,21185439,21186420
NEBL,NEBL_E15,chr10,21188031,21188743
NEBL,NEBL_E16,chr10,21243770,21247394
NEBL,NEBL_E17,chr10,21252373,21253717
NEBL,NEBL_E18,chr10,21264522,21266960
NEBL,NEBL_E19,chr10,21279663,21281310
NEBL,NEBL_E20,chr10,21288772,21290503
NEBL,NEBL_E21,chr10,21300285,21301129
NEBL,NEBL_E22,chr10,21460405,21460555
NEBL,NEBL_P2,chr10,21462138,21464035
NEBL,NEBL_E23,chr10,21483400,21483550
NEBL,NEBL_E24,chr10,21484400,21484550
NEXN,NEXN_E1,chr1,78323420,78323570
NEXN,NEXN_E2,chr1,78325498,78327334
NEXN,NEXN_E3,chr1,78337479,78340062
NEXN,NEXN_E4,chr1,78343175,78349196
NEXN,NEXN_E5,chr1,78349246,78351489
NEXN,NEXN_P1,chr1,78352076,78355859
NEXN,NEXN_E6,chr1,78354520,78354670
NEXN,NEXN_E7,chr1,78354885,78355035
NF1,NF1_P1,chr17,29420088,29423776
NF1,NF1_E1,chr17,29422105,29422255
NF1,NF1_E2,chr17,29449652,29450297
NF1,NF1_E3,chr17,29456970,29458699
NF1,NF1_E4,chr17,29482059,29485619
NF1,NF1_E5,chr17,29508308,29509752
NRAS,NRAS_P1,chr1,115258054,115261015
PDLIM3,PDLIM3_E1,chr4,186424004,186428168
PDLIM3,PDLIM3_E2,chr4,186433909,186436296
PDLIM3,PDLIM3_E3,chr4,186439717,186446510
PDLIM3,PDLIM3_E4,chr4,186446744,186447557
PDLIM3,PDLIM3_E5,chr4,186450153,186451427
